task_id,n_sources,comparison_level,method,method_display,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,threshold
ipromoter_hs_tata,53,Matched architecture,anchor_query_qkv,Anchor-query cross-attention,0.9880292652552928,0.988712102759672,0.8884368428327006,0.9441913439635536,0.9441780821917808,0.95,0.9383561643835616,0.4891621172428131
ipromoter_mm_notata,53,Matched architecture,anchor_query_qkv,Anchor-query cross-attention,0.9527439180768252,0.9545355921621672,0.7607621087299069,0.8789858453880852,0.8790321066548159,0.836544437538844,0.921519775770788,0.5385238027572634
ipromoter_mm_tata,53,Matched architecture,anchor_query_qkv,Anchor-query cross-attention,0.9908908045977012,0.99110681008525,0.9146519398891604,0.9573304157549234,0.9572701149425288,0.961206896551724,0.9533333333333334,0.4614652422070506
snnrice6ma_rice_chen,53,Matched architecture,anchor_query_qkv,Anchor-query cross-attention,0.8656299840510366,0.8619311123371328,0.5520543157813823,0.7735849056603774,0.7733253588516746,0.7045454545454546,0.8421052631578947,0.5788464593887329
gue_emp_H3,53,Formal fusion,choquet_integral,Choquet integral,0.9477178201031756,0.9469953198425216,0.7555057723149777,0.8777555110220441,0.8777056817978972,0.8834437086092716,0.871967654986523,0.5167413400783398
gue_human_tf_0,53,Formal fusion,choquet_integral,Choquet integral,0.9205,0.905752871256229,0.678105845632274,0.834,0.8340000000000001,0.92,0.748,0.5121374780869069
gue_mouse_0,49,Formal fusion,choquet_integral,Choquet integral,0.8860234720317026,0.8950450184351048,0.6291579843995825,0.8061728395061728,0.8061728395061728,0.691358024691358,0.9209876543209876,0.595622041708912
gue_prom_300_all,53,Formal fusion,choquet_integral,Choquet integral,0.982784664201251,0.98275232872655,0.8655810824075761,0.9327702702702704,0.9327283933707712,0.9389261744966444,0.926530612244898,0.5914331365877259
gue_prom_core_all,53,Formal fusion,choquet_integral,Choquet integral,0.9156634749888604,0.9164634480087758,0.6750206134355082,0.8373310810810811,0.8373723511493876,0.8221024258760108,0.8526422764227642,0.5059272183882652
ipromoter_hs_notata,53,Formal fusion,choquet_integral,Choquet integral,0.9118443499518328,0.9136459640559336,0.6650673358204907,0.8325186519166452,0.8325209902993396,0.827976343533042,0.8370656370656371,0.5079928225886086
ipromoter_hs_tata,53,Formal fusion,choquet_integral,Choquet integral,0.9696710253217102,0.970211058335241,0.8088550169056299,0.9043280182232346,0.9043015774180158,0.9159090909090908,0.8926940639269406,0.5551820413495324
ipromoter_mm_notata,53,Formal fusion,choquet_integral,Choquet integral,0.9443834209587576,0.9446136918588048,0.7488167083686973,0.8741639446259138,0.8741832718829521,0.8564325668116842,0.8919339769542198,0.548107742485416
ipromoter_mm_tata,53,Formal fusion,choquet_integral,Choquet integral,0.981111111111111,0.9832730605459415,0.847117399482016,0.9234135667396062,0.92316091954023,0.9396551724137931,0.9066666666666666,0.572596844637986
snnrice6ma_rice_chen,53,Formal fusion,choquet_integral,Choquet integral,0.8729209387104123,0.882752849837896,0.5467943677537801,0.769811320754717,0.7701070858965595,0.8484848484848485,0.6917293233082706,0.4582106265360088
gue_emp_H3,53,Learned fusion,raw_score_logistic_l2,Raw-score logistic (L2),0.9560111386801378,0.9582182340770794,0.7877542644225656,0.8937875751503006,0.8938665857446315,0.8847682119205298,0.9029649595687332,0.5005223691463471
gue_human_tf_0,53,Learned fusion,raw_score_logistic_l2,Raw-score logistic (L2),0.922632,0.9095321747802332,0.6877423453963689,0.838,0.8380000000000001,0.93,0.746,0.4978953771293163
