task_id,method,n_sources,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,threshold
gue_prom_300_all,sparse_aligned_control,53,0.9868563667077572,0.9873834393327826,0.8788805035300586,0.9393581081081082,0.9392857142857144,0.95,0.9285714285714286,0.4573580771684654
gue_prom_300_all,mucff,53,0.98688364607588,0.9874685854892672,0.8821237519075613,0.9410472972972972,0.9410115052732502,0.9463087248322148,0.9357142857142856,0.4879219532012941
gue_prom_core_all,best_source,53,0.9121454845360448,0.912863821443394,0.6593606276925333,0.8293918918918919,0.8294454305729042,0.8096361185983828,0.8492547425474255,0.5382888615131378
gue_prom_core_all,probability_mean,53,0.9076250442844724,0.9084406669967402,0.6601860863840681,0.8300675675675676,0.8300471515496826,0.8376010781671159,0.8224932249322493,0.4693679967640837
gue_prom_core_all,probability_median,53,0.9066599167086684,0.9079356069673226,0.6437008485335424,0.8214527027027027,0.8215166838326065,0.7978436657681941,0.8451897018970189,0.5030455514788628
gue_prom_core_all,rank_mean,53,0.903274836740955,0.904921145896066,0.6436216579469834,0.8217905405405406,0.8217714336846873,0.8288409703504043,0.8147018970189702,0.4826062427486907
gue_prom_core_all,majority_vote,53,0.899407307120578,0.8921258662551343,0.653824942382291,0.8268581081081081,0.8268299074500178,0.8372641509433962,0.8163956639566395,0.4339622641509434
gue_prom_core_all,oof_skill_linear_pool,53,0.909091453827274,0.9100136178732404,0.6587959006274698,0.8293918918918919,0.829397950313735,0.8271563342318059,0.8316395663956639,0.4838179439795358
gue_prom_core_all,oof_skill_logarithmic_pool,53,0.9098082231243472,0.9113258351020626,0.6611455697090559,0.8305743243243243,0.8305708040234041,0.8318733153638814,0.8292682926829268,0.4698221114533479
gue_prom_core_all,dempster_shafer_pool,53,0.8592363256853593,0.8186002996985877,0.6613891147374792,0.8304054054054054,0.8304589514897844,0.8106469002695418,0.8502710027100271,0.7803316668971836
gue_prom_core_all,best_primitive_head,53,0.8855687518718178,0.8866900805584754,0.6018013488050558,0.8003378378378379,0.8004167305824001,0.7712264150943396,0.8296070460704607,0.5291914939880371
gue_prom_core_all,best_standalone_source,53,0.91907714583379,0.9199132289010492,0.6804026425572123,0.8402027027027027,0.8402006223566278,0.8409703504043127,0.8394308943089431,0.52734375
gue_prom_core_all,reliability_attention,53,0.9098553609778012,0.9110248518142614,0.663186343821968,0.8315878378378379,0.8315934557593554,0.8295148247978437,0.8336720867208672,0.4800742115736762
gue_prom_core_all,family_best_weighted_pool,53,0.9148952306992746,0.9155544365427178,0.6696175253160334,0.8347972972972973,0.8347823943199,0.8402964959568733,0.8292682926829268,0.4666998610257497
gue_prom_core_all,correlation_pruned_weighted_pool,53,0.9135020959795176,0.9147605164874802,0.6734073337870781,0.8366554054054054,0.8366756696542706,0.829177897574124,0.8441734417344173,0.4861503111789624
gue_prom_core_all,choquet_integral,53,0.9156634749888604,0.9164634480087758,0.6750206134355082,0.8373310810810811,0.8373723511493876,0.8221024258760108,0.8526422764227642,0.5059272183882652
gue_prom_core_all,raw_score_logistic_l2,53,0.9247387101987598,0.9259603913856406,0.6954144303370916,0.8474662162162162,0.8475139518915404,0.8298517520215634,0.8651761517615176,0.5172319933772087
gue_prom_core_all,aligned_score_logistic_l2,53,0.92523907908385,0.9262111928196785,0.6953648105325074,0.8476351351351351,0.8476550230461873,0.8402964959568733,0.8550135501355014,0.4831245578825475
gue_prom_core_all,sparse_aligned_control,53,0.925203354754235,0.9260557408595942,0.6956204932305072,0.847804054054054,0.8477924418732058,0.852088948787062,0.8434959349593496,0.4609980620443822
gue_prom_core_all,mucff,53,0.9253623451413084,0.9261821403128456,0.6973204268431378,0.8486486486486486,0.8486575869801825,0.8453504043126685,0.8519647696476965,0.4744143411517145
ipromoter_hs_notata,best_source,53,0.8989294624676472,0.9017086309573524,0.6351957597994401,0.8175971186004631,0.8175964084423843,0.8189766006685524,0.8162162162162162,0.4963470995426178
ipromoter_hs_notata,probability_mean,53,0.8836629598779252,0.8817938598381231,0.598973635394867,0.7994597375868279,0.7994630600184727,0.7930059141167395,0.805920205920206,0.5025691367051222
