analysis_group,task_id,condition,replicate,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity
primary,gue_prom_core_all,score_noise_005,8,0.9214483624789078,0.920588827858958,0.685674224014707,0.8425675675675676,0.8426184632466271,0.8237870619946092,0.861449864498645
primary,gue_prom_core_all,score_noise_005,9,0.9208914966508155,0.9194324693909757,0.6853088749389913,0.8423986486486487,0.842448173470953,0.8241239892183289,0.8607723577235772
primary,gue_prom_core_all,score_noise_005,10,0.9207834105800626,0.9190129301170362,0.6860030954118166,0.8427364864864865,0.8427869268584869,0.8241239892183289,0.861449864498645
primary,gue_prom_core_all,score_noise_005,11,0.9222094162484751,0.9227145635837252,0.6909774023445495,0.8452702702702702,0.8453157072001987,0.8285040431266847,0.8621273712737128
primary,gue_prom_core_all,score_noise_005,12,0.9209248241404248,0.9209868601557549,0.6862619928034519,0.8429054054054054,0.8429517381427183,0.8258086253369272,0.8600948509485095
primary,gue_prom_core_all,score_noise_005,13,0.922193437315101,0.922063584843263,0.6907732629241183,0.8451013513513513,0.8451536351616886,0.8258086253369272,0.8644986449864499
primary,gue_prom_core_all,score_noise_005,14,0.921432783018868,0.921301444447768,0.6876140603721678,0.8435810810810811,0.8436274187539718,0.8264824797843666,0.8607723577235772
primary,gue_prom_core_all,score_noise_005,15,0.9217646312244794,0.9201082729237613,0.689312658497328,0.8444256756756757,0.8444724760589923,0.8271563342318059,0.8617886178861789
primary,gue_prom_core_all,score_noise_005,16,0.921733015763446,0.9211163305872004,0.6853832297424933,0.8423986486486487,0.8424518257985815,0.8227762803234502,0.8621273712737128
primary,gue_prom_core_all,score_noise_005,17,0.9213617909005909,0.9204063086848946,0.6917226913248617,0.8456081081081082,0.8456571998334539,0.8274932614555256,0.8638211382113821
primary,gue_prom_core_all,score_noise_005,18,0.9206584324940285,0.9204713117610721,0.6879778101771261,0.84375,0.843797708529646,0.8261455525606469,0.861449864498645
primary,gue_prom_core_all,score_noise_005,19,0.9203574578704009,0.9195471386961125,0.682817098794023,0.8412162162162162,0.841258884286956,0.8254716981132075,0.8570460704607046
primary,gue_prom_core_all,score_noise_005,20,0.9215704871839823,0.9214128437217788,0.6893475035683824,0.8444256756756757,0.8444743022228066,0.8264824797843666,0.8624661246612466
primary,ipromoter_hs_tata,complete,0,0.9573280000000001,0.969113666767651,0.7303809073063449,0.86,0.86,0.944,0.776
primary,ipromoter_hs_tata,conflicting_strongest,0,0.554672,0.5514539469377688,0.046566563018926053,0.52,0.52,0.776,0.264
primary,ipromoter_hs_tata,missing_engineered,0,0.923584,0.9343734958320239,0.5391508189418228,0.748,0.748,0.944,0.552
primary,ipromoter_hs_tata,missing_foundation,0,0.9606399999999998,0.9723283225736532,0.7802309606564416,0.888,0.8879999999999999,0.94,0.836
