run_task_id,evaluation_task,source,source_family,oof_auc,test_auc,oof_selected,oof_selected_individual_channel,oof_selected_standalone_source
gue_human_tf_0,gue_human_tf_0,local_cross_db1_nt_mean,preclassifier_local,0.8376575727228724,0.899156,False,False,False
gue_human_tf_0,gue_human_tf_0,rc_multiscale_seed0,sequence_grammar_rc,0.8414701639743484,0.9147719999999999,False,False,False
gue_human_tf_0,gue_human_tf_0,rc_multiscale_seed1,sequence_grammar_rc,0.8567032768404834,0.9121560000000001,False,False,False
gue_human_tf_0,gue_human_tf_0,rc_multiscale_seed2,sequence_grammar_rc,0.8611336732647792,0.9116000000000001,False,False,False
gue_human_tf_0,gue_human_tf_0,rc_multiscale_biophysical_seed3,sequence_grammar_biophysical,0.8632765118857265,0.913814,False,False,False
gue_human_tf_0,gue_human_tf_0,rc_multiscale_biophysical_position_seed4,sequence_grammar_position,0.8585893346360025,0.91338,False,False,False
gue_mouse_0,gue_mouse_0,kmer13__logreg_l2_c1,composition,0.6615774098631583,0.7007529340039628,False,False,False
gue_mouse_0,gue_mouse_0,kmer13__logreg_l2_c03,composition,0.631203292796764,0.6860813900320073,False,False,False
gue_mouse_0,gue_mouse_0,kmer46__logreg_l2_c1,composition,0.8174503701784601,0.8195397043133669,False,False,False
gue_mouse_0,gue_mouse_0,kmer46__logreg_l2_c03,composition,0.8156738986605785,0.8185550983081847,False,False,False
gue_mouse_0,gue_mouse_0,fcgr4__scaled_logreg_l2_c1,composition,0.8032417435824406,0.7978600823045268,False,False,False
gue_mouse_0,gue_mouse_0,fcgr4__extratrees_300,composition,0.7944152432828036,0.8072001219326322,False,False,False
gue_mouse_0,gue_mouse_0,basicpos__scaled_logreg_l2_c1,motif_position,0.5492093190929652,0.5616826703246457,False,False,False
gue_mouse_0,gue_mouse_0,basicpos__extratrees_300,motif_position,0.5199285179202292,0.5928577960676725,False,False,False
gue_mouse_0,gue_mouse_0,cksnap5__scaled_logreg_l2_c1,physicochemical,0.7377893915187093,0.7344855967078189,False,False,False
gue_mouse_0,gue_mouse_0,cksnap5__extratrees_300,physicochemical,0.7074620763794105,0.7125743026977595,False,False,False
gue_mouse_0,gue_mouse_0,zcurve12__scaled_logreg_l2_c1,physicochemical,0.5430881798825873,0.5593964334705075,False,False,False
gue_mouse_0,gue_mouse_0,zcurve12__extratrees_300,physicochemical,0.5656290269555271,0.5991403749428441,False,False,False
gue_mouse_0,gue_mouse_0,dinuc_auto__scaled_logreg_l2_c1,physicochemical,0.679626368110406,0.6962658131382412,False,False,False
gue_mouse_0,gue_mouse_0,dinuc_auto__extratrees_300,physicochemical,0.6389185094568012,0.6778661789361378,False,False,False
gue_mouse_0,gue_mouse_0,dnabert2__scaled_logreg_l2_c1,foundation_db2,0.714226813577058,0.7250053345526597,False,False,False
gue_mouse_0,gue_mouse_0,dnabert2__scaled_logreg_l2_c03,foundation_db2,0.7222523908778755,0.7288888888888889,False,False,False
gue_mouse_0,gue_mouse_0,dnabert1_6mer_mean__linear,foundation_db1,0.7442337595168287,0.7467398262459991,False,False,False
gue_mouse_0,gue_mouse_0,dnabert1_6mer_cls__linear,foundation_db1,0.560497734205279,0.6042798353909464,False,False,False
gue_mouse_0,gue_mouse_0,nt_500m_human_ref_mean__linear,foundation_nt,0.6036967231311423,0.6228928516994361,False,False,False
gue_mouse_0,gue_mouse_0,nt_500m_human_ref_cls__linear,foundation_nt,0.6051861873119879,0.6423472031702484,False,False,False
gue_mouse_0,gue_mouse_0,dnashaper_shape4__logreg_c1,dna_shape,0.721370493872808,0.7268587105624142,False,False,False
gue_mouse_0,gue_mouse_0,dnashaper_shape4__histgb,dna_shape,0.7240251449310797,0.7433257125438196,False,False,False
