run_task_id,evaluation_task,stage,n_sources,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,oof_auc,threshold,n_test
gue_prom_core_all,gue_prom_core_all,position_aware_grammar,44,0.9232891926712392,0.9240858901511302,0.6888233335730477,0.8440878378378378,0.8441437665724366,0.8234501347708895,0.8648373983739838,0.9249487781486301,0.507342965900898,5920
gue_prom_core_all,gue_prom_core_all,reliability_routed_l2,44,0.9232582620216364,0.924091014442089,0.6889505527622736,0.8440878378378378,0.8441492450638792,0.8214285714285714,0.866869918699187,0.9249116567484077,0.5061704337596894,5920
gue_prom_core_all,gue_prom_core_all,mucff_dual_decision,44,0.9231077176422035,0.9239018427883651,0.6880878446677338,0.84375,0.8438031870210885,0.8241239892183289,0.8634823848238482,0.9250203508195278,0.5056735073891987,5920
ienhancer_recognition,ienhancer_recognition,base_evidence,28,0.8155249999999999,0.8023732213943939,0.45447590432631196,0.725,0.7250000000000001,0.655,0.795,0.8763231885847965,0.5523882320523262,400
ienhancer_recognition,ienhancer_recognition,foundation_interactions,33,0.8172,0.802275909725468,0.465285074438894,0.7325,0.7324999999999999,0.75,0.715,0.8762033115132846,0.4427087120711804,400
ienhancer_recognition,ienhancer_recognition,local_foundation_fusion,39,0.806275,0.7946408249904597,0.42564427456695186,0.7125,0.7125,0.685,0.74,0.8771500679303406,0.4780379682779312,400
ienhancer_recognition,ienhancer_recognition,rc_grammar_1,40,0.80485,0.7933197596945979,0.4200210015751312,0.71,0.71,0.715,0.705,0.8767600133681097,0.4481873059272767,400
ienhancer_recognition,ienhancer_recognition,rc_grammar_2,41,0.80595,0.7943261209392578,0.4464474650379833,0.7175,0.7175,0.605,0.83,0.8765361520186574,0.6097347748279572,400
ienhancer_recognition,ienhancer_recognition,rc_grammar_3,42,0.802475,0.791479736188607,0.4105134629438422,0.705,0.7050000000000001,0.68,0.73,0.8764739430838195,0.4742862284183502,400
ienhancer_recognition,ienhancer_recognition,biophysical_grammar,43,0.8023499999999999,0.7914765986602812,0.40561395576380116,0.7025,0.7025,0.675,0.73,0.8764694022856561,0.4734700322151184,400
ienhancer_recognition,ienhancer_recognition,position_aware_grammar,44,0.8022750000000001,0.7911308425266814,0.405248290640327,0.7025,0.7025,0.685,0.72,0.8759249605858719,0.46948421537876134,400
ienhancer_recognition,ienhancer_recognition,reliability_routed_l2,44,0.8043,0.7860790239276845,0.4254309671419109,0.7125,0.7124999999999999,0.69,0.735,0.8769870532762767,0.46449430242180845,400
ienhancer_recognition,ienhancer_recognition,mucff_dual_decision,44,0.81585,0.7969067020414323,0.4623173950192375,0.73,0.73,0.78,0.68,0.8778933965896789,0.41630538180445853,400
