task_id,method,fusion_family,oof_auc,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,mean_oof_threshold,n_test
ipromoter_mm_notata,mlp_stacking,neural stacking,0.9623172085742636,0.89702624,0.9097773305515064,0.5830981325285114,0.7832,0.7832,0.902,0.6644,0.4904399935901167,5000
snnrice6ma_rice_chen,mlp_stacking,neural stacking,0.8693940669319458,0.8799418904958677,0.8787038215803009,0.5833648681823201,0.7914772727272728,0.7914772727272728,0.8102272727272727,0.7727272727272727,0.4877913361638786,1760
gue_emp_H3,nystroem_rbf_stacking,kernel stacking,0.9469701934263804,0.9433765909212616,0.9452394867094027,0.7496689787488233,0.8744154976619907,0.8741855732671677,0.9006622516556292,0.8477088948787062,0.411177434027195,1497
gue_human_tf_0,nystroem_rbf_stacking,kernel stacking,0.8881463346374371,0.9224519999999999,0.9115192406479885,0.6788471849898178,0.832,0.8320000000000001,0.936,0.728,0.46536701381206513,1000
gue_mouse_0,nystroem_rbf_stacking,kernel stacking,0.8772419290743961,0.8858527663465935,0.8901328754139534,0.645267606092759,0.8197530864197531,0.8197530864197531,0.7530864197530864,0.8864197530864197,0.5501962691545489,810
gue_prom_300_all,nystroem_rbf_stacking,kernel stacking,0.9824751275867298,0.9806397525453134,0.9792766879927175,0.8653000755223293,0.9326013513513514,0.9325423457973794,0.9412751677852349,0.9238095238095239,0.5195240020751959,5920
gue_prom_core_all,nystroem_rbf_stacking,kernel stacking,0.921181772047616,0.9191445997596768,0.9193788292266617,0.6849973171867334,0.8413851351351351,0.8414912636323129,0.8022237196765498,0.8807588075880759,0.5611252412199974,5920
ipromoter_hs_tata,nystroem_rbf_stacking,kernel stacking,0.9623634821325272,0.946944,0.9563766515200348,0.7400128699009548,0.868,0.868,0.92,0.816,0.5342093586921692,500
ipromoter_hs_notata,nystroem_rbf_stacking,kernel stacking,0.9630675801380032,0.8865000000000001,0.9041833777034404,0.5072531654703099,0.7338,0.7338,0.9276,0.54,0.5701684564352036,5000
ipromoter_mm_tata,nystroem_rbf_stacking,kernel stacking,0.9635919773142274,0.9527680000000001,0.9612804736347731,0.7413571269033499,0.868,0.8680000000000001,0.928,0.808,0.4990634392201901,500
